old_path,new_path,action,notes
docs/accessanalyzer/12.0/admin/action/activedirectory/operations.md,docs/accessanalyzer/12.0/actions/active-directory-actions/operations.md,keep,
docs/accessanalyzer/12.0/admin/action/activedirectory/operations/computerdetails.md,docs/accessanalyzer/12.0/actions/active-directory-actions/operations.md,merge,Merge all AD operations into single file
docs/accessanalyzer/12.0/admin/action/activedirectory/operations/creategroups.md,docs/accessanalyzer/12.0/actions/active-directory-actions/operations.md,merge,Merge all AD operations into single file
docs/accessanalyzer/12.0/admin/action/activedirectory/operations/createusers.md,docs/accessanalyzer/12.0/actions/active-directory-actions/operations.md,merge,Merge all AD operations into single file
docs/accessanalyzer/12.0/admin/action/activedirectory/operations/disableenablecomputers.md,docs/accessanalyzer/12.0/actions/active-directory-actions/operations.md,merge,Merge all AD operations into single file
docs/accessanalyzer/12.0/admin/action/activedirectory/operations/disableenableusers.md,docs/accessanalyzer/12.0/actions/active-directory-actions/operations.md,merge,Merge all AD operations into single file
docs/accessanalyzer/12.0/admin/action/activedirectory/operations/groupdetails.md,docs/accessanalyzer/12.0/actions/active-directory-actions/operations.md,merge,Merge all AD operations into single file
docs/accessanalyzer/12.0/admin/action/activedirectory/operations/groupmembership.md,docs/accessanalyzer/12.0/actions/active-directory-actions/operations.md,merge,Merge all AD operations into single file
docs/accessanalyzer/12.0/admin/action/activedirectory/operations/moveobjects.md,docs/accessanalyzer/12.0/actions/active-directory-actions/operations.md,merge,Merge all AD operations into single file
docs/accessanalyzer/12.0/admin/action/activedirectory/operations/setresetpassword.md,docs/accessanalyzer/12.0/actions/active-directory-actions/operations.md,merge,Merge all AD operations into single file
docs/accessanalyzer/12.0/admin/action/activedirectory/operations/sidhistory.md,docs/accessanalyzer/12.0/actions/active-directory-actions/operations.md,merge,Merge all AD operations into single file
docs/accessanalyzer/12.0/admin/action/activedirectory/operations/usersdetails.md,docs/accessanalyzer/12.0/actions/active-directory-actions/operations.md,merge,Merge all AD operations into single file
docs/accessanalyzer/12.0/admin/action/activedirectory/options.md,docs/accessanalyzer/12.0/actions/active-directory-actions/options.md,keep,
docs/accessanalyzer/12.0/admin/action/activedirectory/overview.md,docs/accessanalyzer/12.0/actions/active-directory-actions/overview.md,keep,
docs/accessanalyzer/12.0/admin/action/activedirectory/summary.md,docs/accessanalyzer/12.0/actions/active-directory-actions/summary.md,keep,
docs/accessanalyzer/12.0/admin/action/activedirectory/target.md,docs/accessanalyzer/12.0/actions/active-directory-actions/target.md,keep,
docs/accessanalyzer/12.0/admin/action/filesystem/action.md,docs/accessanalyzer/12.0/actions/file-system-actions/action.md,keep,
docs/accessanalyzer/12.0/admin/action/filesystem/appletsettings.md,docs/accessanalyzer/12.0/actions/file-system-actions/applet-settings.md,keep,
docs/accessanalyzer/12.0/admin/action/filesystem/destination.md,docs/accessanalyzer/12.0/actions/file-system-actions/destination.md,keep,
docs/accessanalyzer/12.0/admin/action/filesystem/environment.md,docs/accessanalyzer/12.0/actions/file-system-actions/environment.md,keep,
docs/accessanalyzer/12.0/admin/action/filesystem/operation.md,docs/accessanalyzer/12.0/actions/file-system-actions/operation.md,keep,
docs/accessanalyzer/12.0/admin/action/filesystem/options.md,docs/accessanalyzer/12.0/actions/file-system-actions/options.md,keep,
docs/accessanalyzer/12.0/admin/action/filesystem/overview.md,docs/accessanalyzer/12.0/actions/file-system-actions/overview.md,keep,
docs/accessanalyzer/12.0/admin/action/filesystem/parameters.md,docs/accessanalyzer/12.0/actions/file-system-actions/parameters.md,keep,
docs/accessanalyzer/12.0/admin/action/filesystem/parameters/addtags.md,docs/accessanalyzer/12.0/actions/file-system-actions/operations.md,merge,Merge all FS parameters into operations file
docs/accessanalyzer/12.0/admin/action/filesystem/parameters/changeattributes.md,docs/accessanalyzer/12.0/actions/file-system-actions/operations.md,merge,Merge all FS parameters into operations file
docs/accessanalyzer/12.0/admin/action/filesystem/parameters/changeowner.md,docs/accessanalyzer/12.0/actions/file-system-actions/operations.md,merge,Merge all FS parameters into operations file
docs/accessanalyzer/12.0/admin/action/filesystem/parameters/changepermissioninheritance.md,docs/accessanalyzer/12.0/actions/file-system-actions/operations.md,merge,Merge all FS parameters into operations file
docs/accessanalyzer/12.0/admin/action/filesystem/parameters/changepermissionsauditing.md,docs/accessanalyzer/12.0/actions/file-system-actions/operations.md,merge,Merge all FS parameters into operations file
docs/accessanalyzer/12.0/admin/action/filesystem/parameters/changesharepermissions.md,docs/accessanalyzer/12.0/actions/file-system-actions/operations.md,merge,Merge all FS parameters into operations file
docs/accessanalyzer/12.0/admin/action/filesystem/parameters/removefilepermissions.md,docs/accessanalyzer/12.0/actions/file-system-actions/operations.md,merge,Merge all FS parameters into operations file
docs/accessanalyzer/12.0/admin/action/filesystem/parameters/removesharepermissions.md,docs/accessanalyzer/12.0/actions/file-system-actions/operations.md,merge,Merge all FS parameters into operations file
docs/accessanalyzer/12.0/admin/action/filesystem/parameters/removetags.md,docs/accessanalyzer/12.0/actions/file-system-actions/operations.md,merge,Merge all FS parameters into operations file
docs/accessanalyzer/12.0/admin/action/filesystem/prioractions.md,docs/accessanalyzer/12.0/actions/file-system-actions/prior-actions.md,keep,
docs/accessanalyzer/12.0/admin/action/filesystem/rollback.md,docs/accessanalyzer/12.0/actions/file-system-actions/rollback.md,keep,
docs/accessanalyzer/12.0/admin/action/filesystem/summary.md,docs/accessanalyzer/12.0/actions/file-system-actions/summary.md,keep,
docs/accessanalyzer/12.0/admin/action/filesystem/target.md,docs/accessanalyzer/12.0/actions/file-system-actions/target.md,keep,
docs/accessanalyzer/12.0/admin/action/libraries.md,docs/accessanalyzer/12.0/actions/libraries.md,keep,
docs/accessanalyzer/12.0/admin/action/mailbox/affectedmailboxes.md,docs/accessanalyzer/12.0/actions/mailbox/affected-mailboxes.md,keep,
docs/accessanalyzer/12.0/admin/action/mailbox/criteriaselection.md,docs/accessanalyzer/12.0/actions/mailbox/criteria-selection.md,keep,
docs/accessanalyzer/12.0/admin/action/mailbox/delegaterights.md,docs/accessanalyzer/12.0/actions/mailbox/delegate-rights.md,keep,
docs/accessanalyzer/12.0/admin/action/mailbox/folderconditions.md,docs/accessanalyzer/12.0/actions/mailbox/folder-conditions.md,keep,
docs/accessanalyzer/12.0/admin/action/mailbox/folderidentification.md,docs/accessanalyzer/12.0/actions/mailbox/folder-identification.md,keep,
docs/accessanalyzer/12.0/admin/action/mailbox/identification.md,docs/accessanalyzer/12.0/actions/mailbox/identification.md,keep,
docs/accessanalyzer/12.0/admin/action/mailbox/messageactions.md,docs/accessanalyzer/12.0/actions/mailbox/message-actions.md,keep,
docs/accessanalyzer/12.0/admin/action/mailbox/messageconditions.md,docs/accessanalyzer/12.0/actions/mailbox/message-conditions.md,keep,
docs/accessanalyzer/12.0/admin/action/mailbox/operations.md,docs/accessanalyzer/12.0/actions/mailbox/operations.md,keep,
docs/accessanalyzer/12.0/admin/action/mailbox/overview.md,docs/accessanalyzer/12.0/actions/mailbox/overview.md,keep,
docs/accessanalyzer/12.0/admin/action/mailbox/permissions.md,docs/accessanalyzer/12.0/actions/mailbox/permissions.md,keep,
docs/accessanalyzer/12.0/admin/action/mailbox/samplinghost.md,docs/accessanalyzer/12.0/actions/mailbox/sampling-host.md,keep,
docs/accessanalyzer/12.0/admin/action/mailbox/summary.md,docs/accessanalyzer/12.0/actions/mailbox/summary.md,keep,
docs/accessanalyzer/12.0/admin/action/mailbox/trustedusers.md,docs/accessanalyzer/12.0/actions/mailbox/trusted-users.md,keep,
docs/accessanalyzer/12.0/admin/action/overview.md,docs/accessanalyzer/12.0/actions/overview.md,keep,
docs/accessanalyzer/12.0/admin/action/powershell/executionoptions.md,docs/accessanalyzer/12.0/actions/powershell/execution-options.md,keep,
docs/accessanalyzer/12.0/admin/action/powershell/overview.md,docs/accessanalyzer/12.0/actions/powershell/overview.md,keep,
docs/accessanalyzer/12.0/admin/action/powershell/script.md,docs/accessanalyzer/12.0/actions/powershell/script.md,keep,
docs/accessanalyzer/12.0/admin/action/powershell/summary.md,docs/accessanalyzer/12.0/actions/powershell/summary.md,keep,
docs/accessanalyzer/12.0/admin/action/publicfolder/action.md,docs/accessanalyzer/12.0/actions/public-folder/action.md,keep,
docs/accessanalyzer/12.0/admin/action/publicfolder/folders.md,docs/accessanalyzer/12.0/actions/public-folder/folders.md,keep,
docs/accessanalyzer/12.0/admin/action/publicfolder/mapisettings.md,docs/accessanalyzer/12.0/actions/public-folder/mapi-settings.md,keep,
docs/accessanalyzer/12.0/admin/action/publicfolder/operations.md,docs/accessanalyzer/12.0/actions/public-folder/operations.md,keep,
docs/accessanalyzer/12.0/admin/action/publicfolder/options.md,docs/accessanalyzer/12.0/actions/public-folder/options.md,keep,
docs/accessanalyzer/12.0/admin/action/publicfolder/overview.md,docs/accessanalyzer/12.0/actions/public-folder/overview.md,keep,
docs/accessanalyzer/12.0/admin/action/publicfolder/prioractions.md,docs/accessanalyzer/12.0/actions/public-folder/prior-actions.md,keep,
docs/accessanalyzer/12.0/admin/action/publicfolder/rollback.md,docs/accessanalyzer/12.0/actions/public-folder/rollback.md,keep,
docs/accessanalyzer/12.0/admin/action/publicfolder/summary.md,docs/accessanalyzer/12.0/actions/public-folder/summary.md,keep,
docs/accessanalyzer/12.0/admin/action/registry/operations.md,docs/accessanalyzer/12.0/actions/registry/operations.md,keep,
docs/accessanalyzer/12.0/admin/action/registry/overview.md,docs/accessanalyzer/12.0/actions/registry/overview.md,keep,
docs/accessanalyzer/12.0/admin/action/registry/summary.md,docs/accessanalyzer/12.0/actions/registry/summary.md,keep,
docs/accessanalyzer/12.0/admin/action/registry/targethosts.md,docs/accessanalyzer/12.0/actions/registry/target-hosts.md,keep,
docs/accessanalyzer/12.0/admin/action/sendmail/message.md,docs/accessanalyzer/12.0/actions/send-mail/message.md,keep,
docs/accessanalyzer/12.0/admin/action/sendmail/overview.md,docs/accessanalyzer/12.0/actions/send-mail/overview.md,keep,
docs/accessanalyzer/12.0/admin/action/sendmail/properties.md,docs/accessanalyzer/12.0/actions/send-mail/properties.md,keep,
docs/accessanalyzer/12.0/admin/action/sendmail/summary.md,docs/accessanalyzer/12.0/actions/send-mail/summary.md,keep,
docs/accessanalyzer/12.0/admin/action/sendmail/viewstatus.md,docs/accessanalyzer/12.0/actions/send-mail/view-status.md,keep,
docs/accessanalyzer/12.0/admin/action/servicenow/authentication.md,docs/accessanalyzer/12.0/actions/service-now/authentication.md,keep,
docs/accessanalyzer/12.0/admin/action/servicenow/description.md,docs/accessanalyzer/12.0/actions/service-now/description.md,keep,
docs/accessanalyzer/12.0/admin/action/servicenow/incidentcreation.md,docs/accessanalyzer/12.0/actions/service-now/incident-creation.md,keep,
docs/accessanalyzer/12.0/admin/action/servicenow/overview.md,docs/accessanalyzer/12.0/actions/service-now/overview.md,keep,
docs/accessanalyzer/12.0/admin/action/servicenow/summary.md,docs/accessanalyzer/12.0/actions/service-now/summary.md,keep,
docs/accessanalyzer/12.0/admin/action/survey/htmlstyle.md,docs/accessanalyzer/12.0/actions/survey/html-style.md,keep,
docs/accessanalyzer/12.0/admin/action/survey/introduction.md,docs/accessanalyzer/12.0/actions/survey/introduction.md,keep,
docs/accessanalyzer/12.0/admin/action/survey/mailmessage.md,docs/accessanalyzer/12.0/actions/survey/mail-message.md,keep,
docs/accessanalyzer/12.0/admin/action/survey/mailproperties.md,docs/accessanalyzer/12.0/actions/survey/mail-properties.md,keep,
docs/accessanalyzer/12.0/admin/action/survey/overview.md,docs/accessanalyzer/12.0/actions/survey/overview.md,keep,
docs/accessanalyzer/12.0/admin/action/survey/questions.md,docs/accessanalyzer/12.0/actions/survey/questions.md,keep,
docs/accessanalyzer/12.0/admin/action/survey/summary.md,docs/accessanalyzer/12.0/actions/survey/summary.md,keep,
docs/accessanalyzer/12.0/admin/action/survey/template.md,docs/accessanalyzer/12.0/actions/survey/template.md,keep,
docs/accessanalyzer/12.0/admin/action/survey/testsurvey.md,docs/accessanalyzer/12.0/actions/survey/test-survey.md,keep,
docs/accessanalyzer/12.0/admin/action/survey/webserver.md,docs/accessanalyzer/12.0/actions/survey/web-server.md,keep,
docs/accessanalyzer/12.0/admin/action/webrequest/destination.md,docs/accessanalyzer/12.0/actions/web-request/destination.md,keep,
docs/accessanalyzer/12.0/admin/action/webrequest/header.md,docs/accessanalyzer/12.0/actions/web-request/header.md,keep,
docs/accessanalyzer/12.0/admin/action/webrequest/overview.md,docs/accessanalyzer/12.0/actions/web-request/overview.md,keep,
docs/accessanalyzer/12.0/admin/action/webrequest/parameters.md,docs/accessanalyzer/12.0/actions/web-request/parameters.md,keep,
docs/accessanalyzer/12.0/admin/action/webrequest/settings.md,docs/accessanalyzer/12.0/actions/web-request/settings.md,keep,
docs/accessanalyzer/12.0/admin/action/webrequest/summary.md,docs/accessanalyzer/12.0/actions/web-request/summary.md,keep,
docs/accessanalyzer/12.0/admin/analysis/autoaction.md,docs/accessanalyzer/12.0/analysis/auto-action.md,keep,
docs/accessanalyzer/12.0/admin/analysis/businessrules/appliesto.md,docs/accessanalyzer/12.0/analysis/business-rules/applies-to.md,keep,
docs/accessanalyzer/12.0/admin/analysis/businessrules/logic.md,docs/accessanalyzer/12.0/analysis/business-rules/logic.md,keep,
docs/accessanalyzer/12.0/admin/analysis/businessrules/overview.md,docs/accessanalyzer/12.0/analysis/business-rules/overview.md,keep,
docs/accessanalyzer/12.0/admin/analysis/businessrules/variables.md,docs/accessanalyzer/12.0/analysis/business-rules/variables.md,keep,
docs/accessanalyzer/12.0/admin/analysis/changedetection/additionalfields.md,docs/accessanalyzer/12.0/analysis/change-detection/additional-fields.md,keep,
docs/accessanalyzer/12.0/admin/analysis/changedetection/fields.md,docs/accessanalyzer/12.0/analysis/change-detection/fields.md,keep,
docs/accessanalyzer/12.0/admin/analysis/changedetection/input.md,docs/accessanalyzer/12.0/analysis/change-detection/input.md,keep,
docs/accessanalyzer/12.0/admin/analysis/changedetection/inputscope.md,docs/accessanalyzer/12.0/analysis/change-detection/input-scope.md,keep,
docs/accessanalyzer/12.0/admin/analysis/changedetection/options.md,docs/accessanalyzer/12.0/analysis/change-detection/options.md,keep,
